X--Trace 1::[I(R1:1) | I(PR1)],Y--Trace 1::[I(R1:1) | I(PR1)],,X--Trace 2::[V(2) | V(PR3)],Y--Trace 2::[V(2) | V(PR3)]
2.87,0.001679,,2.87,0.582794
2.88,0.00167962,,2.88,0.578571
2.89,0.00168023,,2.89,0.57442
2.9,0.00168083,,2.9,0.570341
2.91,0.00168142,,2.91,0.566331
2.92,0.001682,,2.92,0.562388
2.93,0.00168257,,2.93,0.55851
2.94,0.00168313,,2.94,0.554695
2.95,0.00168369,,2.95,0.550941
2.96,0.00168423,,2.96,0.547247
2.97,0.00168476,,2.97,0.543611
2.98,0.00168529,,2.98,0.540032
2.99,0.00168581,,2.99,0.536508
3,0.00168632,,3,0.533037
3.01,0.00168682,,3.01,0.529619
3.02,0.00168732,,3.02,0.526251
3.03,0.0016878,,3.03,0.522933
3.04,0.00168828,,3.04,0.519663
3.05,0.00168876,,3.05,0.51644
3.06,0.00168923,,3.06,0.513264
3.07,0.00168969,,3.07,0.510132
3.08,0.00169014,,3.08,0.507044
3.09,0.00169059,,3.09,0.503999
3.1,0.00169103,,3.1,0.500995
3.11,0.00169147,,3.11,0.498033
3.12,0.0016919,,3.12,0.49511
3.13,0.00169232,,3.13,0.492226
3.14,0.00169274,,3.14,0.489381
3.15,0.00169315,,3.15,0.486572
3.16,0.00169356,,3.16,0.4838
3.17,0.00169396,,3.17,0.481064
3.18,0.00169436,,3.18,0.478363
3.19,0.00169475,,3.19,0.475696
3.2,0.00169514,,3.2,0.473062
3.21,0.00169552,,3.21,0.470461
3.22,0.0016959,,3.22,0.467892
3.23,0.00169627,,3.23,0.465355
3.24,0.00169664,,3.24,0.462848
3.25,0.001697,,3.25,0.460372
3.26,0.00169736,,3.26,0.457925
3.27,0.00169772,,3.27,0.455507
3.28,0.00169807,,3.28,0.453117
3.29,0.00169842,,3.29,0.450756
3.3,0.00169876,,3.3,0.448421
3.31,0.0016991,,3.31,0.446114
3.32,0.00169944,,3.32,0.443833
3.33,0.00169977,,3.33,0.441577
3.34,0.0017001,,3.34,0.439347
3.35,0.00170042,,3.35,0.437142
3.36,0.00170074,,3.36,0.434961
3.37,0.00170106,,3.37,0.432804
3.38,0.00170137,,3.38,0.430671
3.39,0.00170168,,3.39,0.428561
3.4,0.00170199,,3.4,0.426474
3.41,0.00170229,,3.41,0.424409
3.42,0.00170259,,3.42,0.422365
3.43,0.00170289,,3.43,0.420344
3.44,0.00170318,,3.44,0.418343
3.45,0.00170348,,3.45,0.416364
3.46,0.00170376,,3.46,0.414404
3.47,0.00170405,,3.47,0.412465
3.48,0.00170433,,3.48,0.410546
3.49,0.00170461,,3.49,0.408646
3.5,0.00170489,,3.5,0.406766
3.51,0.00170516,,3.51,0.404904
3.52,0.00170543,,3.52,0.40306
3.53,0.0017057,,3.53,0.401235
3.54,0.00170597,,3.54,0.399428
3.55,0.00170623,,3.55,0.397639
3.56,0.00170649,,3.56,0.395867
3.57,0.00170675,,3.57,0.394111
3.58,0.001707,,3.58,0.392373
3.59,0.00170726,,3.59,0.390652
3.6,0.00170751,,3.6,0.388946
3.61,0.00170776,,3.61,0.387257
3.62,0.001708,,3.62,0.385584
3.63,0.00170825,,3.63,0.383926
3.64,0.00170849,,3.64,0.382283
3.65,0.00170873,,3.65,0.380656
3.66,0.00170896,,3.66,0.379044
3.67,0.0017092,,3.67,0.377446
3.68,0.00170943,,3.68,0.375862
3.69,0.00170966,,3.69,0.374293
3.7,0.00170989,,3.7,0.372738
3.71,0.00171012,,3.71,0.371197
3.72,0.00171034,,3.72,0.36967
3.73,0.00171057,,3.73,0.368156
3.74,0.00171079,,3.74,0.366655
3.75,0.001711,,3.75,0.365167
3.76,0.00171122,,3.76,0.363693
3.77,0.00171144,,3.77,0.362231
3.78,0.00171165,,3.78,0.360781
3.79,0.00171186,,3.79,0.359344
3.8,0.00171207,,3.8,0.357919
3.81,0.00171228,,3.81,0.356506
3.82,0.00171248,,3.82,0.355106
3.83,0.00171269,,3.83,0.353716
3.84,0.00171289,,3.84,0.352339
3.85,0.00171309,,3.85,0.350972
3.86,0.00171329,,3.86,0.349618
3.87,0.00171349,,3.87,0.348274
3.88,0.00171369,,3.88,0.346941
3.89,0.00171388,,3.89,0.345619
3.9,0.00171407,,3.9,0.344307
3.91,0.00171426,,3.91,0.343007
3.92,0.00171445,,3.92,0.341716
3.93,0.00171464,,3.93,0.340436
3.94,0.00171483,,3.94,0.339166
3.95,0.00171501,,3.95,0.337906
3.96,0.0017152,,3.96,0.336656
3.97,0.00171538,,3.97,0.335416
3.98,0.00171556,,3.98,0.334186
3.99,0.00171574,,3.99,0.332965
4,0.00171592,,4,0.331753
